년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
Jan-19,108,-0.9,-5.1,4.1
Feb-19,108,1,-3.2,6
Mar-19,108,7.1,2.7,12.4
Apr-19,108,12.1,7.2,17.6
May-19,108,19.4,13.7,25.6
Jun-19,108,22.5,18.1,27.7
Jul-19,108,25.9,22.7,30.1
Aug-19,108,27.2,23.6,31.6
Sep-19,108,22.6,19,27.1
Oct-19,108,16.4,11.8,21.8
Nov-19,108,7.6,3.1,12.9
Dec-19,108,1.4,-2.6,5.3
Jan-20,108,1.6,-1.7,5.9
Feb-20,108,2.5,-1.3,7.2
Mar-20,108,7.7,2.6,13.3
Apr-20,108,11.1,6.3,16.6
May-20,108,18,13.7,23.3
Jun-20,108,23.9,19.9,29
Jul-20,108,24.1,21.1,28
Aug-20,108,26.5,24.4,29.3
Sep-20,108,21.4,18,25.6
Oct-20,108,14.3,9.6,19.5
Nov-20,108,8,4,12.6
Dec-20,108,-0.3,-4.2,3.9
Jan-21,108,-2.4,-6.8,2.2
Feb-21,108,2.7,-2.2,7.9
Mar-21,108,9,4.3,14.8
Apr-21,108,14.2,9.5,19.5
May-21,108,17.1,12.8,21.9
Jun-21,108,22.8,18.9,27.6
Jul-21,108,28.1,24.6,32.2
Aug-21,108,25.9,22.8,29.7
Sep-21,108,22.6,18.8,26.9
Oct-21,108,15.6,11.6,20.5
Nov-21,108,8.2,4,13.1
Dec-21,108,0.6,-3.5,5.1
Jan-22,108,-2.2,-6.2,2.6
Feb-22,108,-1.1,-5.3,3.8
Mar-22,108,7.7,3.2,12.7
Apr-22,108,14.8,10,20.6
May-22,108,19.1,13.9,25
Jun-22,108,23.3,19.8,27.5
Jul-22,108,27.3,24.2,31
Aug-22,108,25.7,23.1,28.9
Sep-22,108,22.4,18.2,27.2
Oct-22,108,14.6,10.3,19.7
Nov-22,108,10,5.6,15.4
Dec-22,108,-2.8,-6.6,1.7
Jan-23,108,-1.5,-5.7,3.2
Feb-23,108,2.3,-1.9,7.3
Mar-23,108,9.8,4.2,16.2
Apr-23,108,13.8,8.8,19
May-23,108,19.5,14.6,25
Jun-23,108,23.4,19.7,27.9
Jul-23,108,26.7,23.9,30.2
Aug-23,108,27.2,24.3,30.8
Sep-23,108,23.7,20.2,27.6
Oct-23,108,15.8,11.5,21
Nov-23,108,6.8,2.9,11.5
Dec-23,108,1.1,-2.5,5.2
Jan-24,108,-0.5,-3.9,3.6
Feb-24,108,3.8,0.2,8.2
Mar-24,108,7,2.4,12
Apr-24,108,16.3,11.5,22.4
May-24,108,18.5,13.8,23.7
Jun-24,108,24.6,19.9,30.1
Jul-24,108,26.6,24.1,29.6
Aug-24,108,29.3,26.3,33.3
Sep-24,108,25.5,22,29.8
Oct-24,108,16.7,12.7,21.4
Nov-24,108,9.7,5.5,14.9
