월별(1),2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
월별(1),미세먼지 ((㎍/㎥)/year),미세먼지 ((㎍/㎥)/year),미세먼지 ((㎍/㎥)/year),미세먼지 ((㎍/㎥)/year),미세먼지 ((㎍/㎥)/year),미세먼지 ((㎍/㎥)/year),미세먼지 ((㎍/㎥)/year),미세먼지 ((㎍/㎥)/year),미세먼지 ((㎍/㎥)/year),미세먼지 ((㎍/㎥)/year),미세먼지 ((㎍/㎥)/year)
1월,63,63,58,53,49,52,48,62,42,37,42
2월,50,50,58,84,46,47,49,55,37,46,38
3월,58,58,58,73,65,62,49,67,41,69,42
4월,59,59,59,54,72,58,46,43,39,42,44
5월,60,60,67,52,58,63,40,51,31,59,32
6월,48,48,43,42,48,42,34,29,32,36,21
7월,39,39,41,34,35,37,26,31,21,29,26
8월,40,40,34,42,37,27,25,30,24,22,21
9월,35,35,36,38,41,38,24,28,20,16,26
10월,36,36,40,53,42,33,33,35,34,28,30
11월,46,46,47,41,55,41,55,41,39,44,41
12월,55,55,45,54,47,45,45,40,39,39,38
